SVR0001,body massage,KAT001,,01_totok.jpg,195000
SVR0002,body scrub (lulur),KAT001,,02_facial.jpg,250000
SVR0003,body masker,KAT001,,03_ear_candle.jpg,255000
SVR0004,body steam,KAT001,,04_creambath.jpg,110000
SVR0005,ratus,KAT001,,05_catok.jpg,85000
SVR0006,basic facial wardah,KAT002,,06_curly.jpg,100000
SVR0007,facial ristra biokos,KAT002,,07_lulur.jpg,135000
SVR0008,anti aging facial,KAT002,,08_masker.jpg,110000
SVR0009,acne treatment facial,KAT002,,09_manicure.jpg,150000
SVR0010,whitening facial,KAT002,,10_spa.jpg,120000
SVR0011,totok wajah,KAT002,,,120000
SVR0012,masker wajah,KAT002,,,120000
SVR0013,creambath buah (pendek),KAT003,,,120000
SVR0014,creambath buah (panjang),KAT003,,,120000
SVR0015,hair spa texture makarizo (pendek),KAT003,,,120000
SVR0016,hair spa texture makarizo (panjang),KAT003,,,120000
SVR0017,anti dandruff,KAT003,,,120000
SVR0018,creambath matrix,KAT003,,,120000
SVR0019,manicure,KAT004,,,120000
SVR0020,pedicure,KAT004,,,120000
SVR0021,manicure + pedicure,KAT004,,,120000
SVR0022,foot spa,KAT004,,,120000
SVR0023,reflexi,KAT004,,,120000
SVR0024,hair cut (pendek),KAT005,,,120000
SVR0025,hair cut (panjang),KAT005,,,120000
SVR0026,potong poni,KAT005,,,120000
SVR0027,blow variasi (pendek),KAT005,,,120000
SVR0028,blow variasi (panjang),KAT005,,,120000
SVR0029,jasa colouring henna,KAT005,,,120000
SVR0030,Facial biokos + totok,KAT006,,,120000
SVR0031,Facial wardah + totok,KAT006,,,120000
SVR0032,body steam + body massage + scrub,KAT007,,,120000
SVR0033,body massage + scrub + totok,KAT007,,,120000
SVR0034,body masssage + Scrub ,KAT007,,,120000
SVR0035,body massage + lulur + menipedi,KAT007,,,120000
